Goal,Target,Indicator,Indicator Description,PDF Link
Goal 1. End poverty in all its forms everywhere,"Target 1.1: By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day",Indicator 1.1.1:,"Indicator 1.1.1:
 		      							Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",/sdgs/metadata/files/Metadata-01-01-01a.pdf
Goal 1. End poverty in all its forms everywhere,"Target 1.1: By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day",Indicator 1.1.1:,"Indicator 1.1.1:
 		      							Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",/sdgs/metadata/files/Metadata-01-01-01a.docx
Goal 1. End poverty in all its forms everywhere,"Target 1.1: By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day",Indicator 1.1.1:,"Indicator 1.1.1:
 		      							Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",/sdgs/metadata/files/Metadata-01-01-01b.pdf
Goal 1. End poverty in all its forms everywhere,"Target 1.1: By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day",Indicator 1.1.1:,"Indicator 1.1.1:
 		      							Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",/sdgs/metadata/files/Metadata-01-01-01b.docx
Goal 1. End poverty in all its forms everywhere,"Target 1.1: By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day",Indicator 1.2.1:,"Indicator 1.2.1:
 		      							Proportion of population living below the national poverty line, by sex and age",/sdgs/metadata/files/Metadata-01-02-01.pdf
Goal 1. End poverty in all its forms everywhere,"Target 1.1: By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day",Indicator 1.2.1:,"Indicator 1.2.1:
 		      							Proportion of population living below the national poverty line, by sex and age",/sdgs/metadata/files/Metadata-01-02-01.docx
Goal 1. End poverty in all its forms everywhere,"Target 1.1: By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day",Indicator 1.2.1:,"Indicator 1.2.1:
 		      							Proportion of population living below the national poverty line, by sex and age",/sdgs/metadata/files/Metadata-01-02-02.pdf
Goal 1. End poverty in all its forms everywhere,"Target 1.1: By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day",Indicator 1.2.1:,"Indicator 1.2.1:
 		      							Proportion of population living below the national poverty line, by sex and age",/sdgs/metadata/files/Metadata-01-02-02.docx
Goal 1. End poverty in all its forms everywhere,"Target 1.1: By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day",Indicator 1.3.1:,"Indicator 1.3.1:
 		      							Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",/sdgs/metadata/files/Metadata-01-03-01a.pdf
Goal 1. End poverty in all its forms everywhere,"Target 1.1: By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day",Indicator 1.3.1:,"Indicator 1.3.1:
 		      							Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",/sdgs/metadata/files/Metadata-01-03-01a.docx
Goal 1. End poverty in all its forms everywhere,"Target 1.1: By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day",Indicator 1.3.1:,"Indicator 1.3.1:
 		      							Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",/sdgs/metadata/files/Metadata-01-03-01b.pdf
Goal 1. End poverty in all its forms everywhere,"Target 1.1: By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day",Indicator 1.3.1:,"Indicator 1.3.1:
 		      							Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",/sdgs/metadata/files/Metadata-01-03-01b.docx
